<s>	<s>	1	0
</s>	</s>	2	0
の	の	68b8	f
。	。	1f3	f
、	、	1f2	f
て	て	5960	f
に	に	64c2	f
た	た	4acd	f
は	は	6ab5	f
が	が	2589	f
で	で	5a69	f
と	と	5b48	f
を	を	9624	f
も	も	8985	f
し	し	3bc6	f
・	・	1f2bc	f
な	な	6115	f
です	です	5ad2	f
ない	ない	6125	f
か	か	1d86	f
xNUMBx	xNUMBx	3	0
ます	ます	8185	f
だ	だ	4fae	f
から	から	23c2	f
まし	まし	814e	f
ん	ん	9630	f
い	い	866	f
こと	こと	3218	f
」	」	205	f
「	「	204	f
いる	いる	d1d	f
ね	ね	6733	f
する	する	460c	f
ある	ある	7ae	f
れ	れ	93ec	f
いう	いう	8e5	f
さ	さ	3797	f
よ	よ	910e	f
よう	よう	9118	f
けど	けど	2f0e	f
なっ	なっ	62db	f
って	って	5396	f
そう	そう	48a3	f
や	や	8ce8	f
さん	さん	3b17	f
この	この	3292	f
〜	〜	212	f
たら	たら	4f11	f
てる	てる	5a2a	f
ば	ば	6f7b	f
私	わたくし	45d83	f
人	ひと	223eb	f
き	き	26c6	f
たい	たい	4ad0	f
あり	あり	764	f
いい	いい	869	f
それ	それ	4a45	f
ませ	ませ	81a8	f
まで	まで	8288	f
その	その	4991	f
これ	これ	3390	f
なく	なく	61d9	f
もの	もの	8b87	f
今日	きょう	227ae	f
だっ	だっ	503c	f
時	じ	39b90	f
なる	なる	6463	f
でし	でし	5ac6	f
だけ	だけ	4ff9	f
的	まと	43fdb	f
なり	なり	6423	f
ー	ー	1f2bd	f
見	み	4cf5d	f
自分	じぶん	4a099	f
お	お	1324	f
方	ほう	38ec4	f
今	いま	226ee	f
思い	おもい	34987	f
あっ	あっ	4d6	f
へ	へ	7ba6	f
思っ	おもっ	34b21	f
中	なか	20c52	f
なら	なら	63fd	f
など	など	6335	f
なかっ	なかっ	6161	f
事	こと	21b4b	f
たり	たり	4f33	f
時間	じかん	39c56	f
でき	でき	5a94	f
何	なん	2399e	f
み	み	8405	b
また	また	81c2	f
感じ	かんじ	35569	f
もう	もう	8987	f
ず	ず	4668	f
せ	せ	4714	f
前	まえ	26e38	f
れる	れる	940c	f
年	ねん	32703	f
じゃ	じゃ	41c1	f
られ	られ	935f	f
行っ	いっ	4c3dc	f
より	より	9297	f
どう	どう	5fb1	f
思う	おもう	34b05	f
ため	ため	4eb6	9
なん	なん	6492	f
だろう	だろう	50d8	f
ながら	ながら	619d	f
ところ	ところ	5c37	f
くれ	くれ	2d51	f
出	で	260c1	f
やっ	やっ	8dd5	f
そして	そして	4918	f
ちゃん	ちゃん	5245	f
目	め	442cb	f
いつ	いつ	b75	f
でしょう	でしょう	5acf	f
そんな	そんな	4a95	f
来	き	3b23e	f
ちょっと	ちょっと	52c0	f
食べ	たべ	55175	f
言っ	いっ	4d986	f
月	つき	3a4db	f
なぁ	なぁ	611c	f
できる	できる	5aa8	f
考え	かんがえ	492d1	f
日本	にっぽん	391bc	f
わ	わ	9452	f
つい	つい	53c5	f
ここ	ここ	30df	f
こんな	こんな	340a	f
良い	よい	4a6e7	f
好き	すき	2e605	b
みたい	みたい	8515	f
よく	よく	9165	f
とき	とき	5bbf	f
日	ひ	3903f	f
少し	すこし	30b6f	f
』	』	207	f
くらい	くらい	2c88	f
後	あと	33b9f	f
『	『	206	f
いっ	いっ	b45	f
話	はなし	4defa	f
言う	いう	4d973	f
今回	こんかい	22756	f
分	ぶん	26471	f
まだ	まだ	81e8	f
仕事	しごと	22956	f
くる	くる	2d13	f
明日	あす	39794	f
ください	ください	2b59	f
昨日	きのう	39aba	f
しまっ	しまっ	3e6d	f
しか	しか	3bf9	f
最近	さいきん	3a495	f
いく	いく	9a1	f
本当	ほんとう	3ae47	f
行く	いく	4c3c1	f
しかし	しかし	3c06	f
あ	あ	21a	9
なんか	なんか	6493	b
同じ	おなじ	29ec9	f
わけ	わけ	94ed	f
すぎ	すぎ	4326	b
ほど	ほど	7e67	f
しまい	しまい	3e54	f
俺	おれ	242ab	f
入っ	はいっ	24e73	f
家	いえ	2f987	f
あと	あと	58b	f
出来	でき	26296	f
おり	おり	194d	f
っ	っ	5362	8
なんて	なんて	64ab	f
写真	しゃしん	25d06	f
しまう	しまう	3e60	f
行き	いき	4c326	f
たち	たち	4d0f	f
しれ	しれ	4096	f
気持ち	きもち	3dfcb	b
そこ	そこ	48f9	f
言わ	いわ	4d992	f
多い	おおい	2ceb1	f
こう	こう	3009	f
上	うえ	1ff2b	f
今年	ことし	22793	f
ござい	ござい	3457	f
朝	あさ	3a874	f
必要	ひつよう	345d2	f
しよう	しよう	403f	f
らしい	らしい	9332	f
持っ	もっ	36d84	f
問題	もんだい	2ae3b	b
たく	たく	4b92	f
なー	なー	64ba	9
買っ	かっ	4ef95	f
あれ	あれ	7cd	f
本	ほん	3ad51	f
とても	とても	5cd6	f
られる	られる	9364	f
僕	ぼく	247f1	f
心	こころ	34436	b
様	よう	3cbdd	f
手	て	35e24	f
みんな	みんな	867f	f
寝	ね	2fe9b	f
かなり	かなり	227a	b
入れ	いれ	24ec2	f
多く	おおく	2cebe	f
うち	うち	f3b	f
あまり	あまり	67c	b
回	かい	2b53e	f
見る	みる	4d0b7	f
ただ	ただ	4cea	f
ら	ら	9323	f
ブログ	ぶろぐ	19828	9
一緒	いっしょ	1f6bd	f
やっぱり	やっぱり	8df8	f
すぐ	すぐ	4377	f
いけ	いけ	9ad	f
間	ま	530e3	f
最後	さいご	3a439	f
他	ほか	22a47	f
使っ	つかっ	23ce8	f
くれる	くれる	2d5f	f
次	つぎ	3d0f9	f
先生	せんせい	24b9e	f
こちら	こちら	31e6	f
つ	つ	53c2	f
子供	こども	2eae1	f
一番	いちばん	1f63f	f
状態	じょうたい	420da	f
聞い	きい	49519	f
何か	なんか	239a1	0
言葉	ことば	4d9d7	f
作っ	つくっ	23ae7	f
書い	かい	3a15d	f
無い	ない	41255	f
人間	にんげん	225fd	f
ま	ま	8012	f
一	いち	1f2f4	f
どこ	どこ	6011	f
見え	みえ	4cf7c	f
とっ	とっ	5c88	f
なけれ	なけれ	6219	f
いき	いき	94a	f
顔	かお	54c9d	b
度	ど	32c19	f
帰っ	かえっ	32218	f
かけ	かけ	1f65	f
世界	せかい	20a2f	f
あの	あの	5b9	f
やら	やら	8eb2	f
いや	いや	ca9	f
場合	ばあい	2c4cd	f
雨	あめ	53ed9	f
なあ	なあ	6121	f
車	くるま	4fcb2	f
夜	よる	2d051	f
場所	ばしょ	2c4d7	f
早く	はやく	394f0	f
たくさん	たくさん	4b95	f
始め	はじめ	2e852	f
もっと	もっと	8afb	f
もん	もん	8cd3	f
頭	あたま	54b5b	f
けれど	けれど	2f6d	f
円	えん	25a9e	f
みる	みる	866b	f
意味	いみ	3536b	f
ましょう	ましょう	8158	f
初めて	はじめて	268ff	f
くん	くん	2d9e	f
いえ	いえ	8e6	f
なかなか	なかなか	6164	f
以上	いじょう	22d2b	f
わから	わから	948c	f
ばかり	ばかり	6f9e	f
声	こえ	2c957	f
頃	ころ	549b8	f
よっ	よっ	920c	f
とりあえず	とりあえず	5e24	f
結果	けっか	47fab	f
ありがとう	ありがとう	784	f
違う	ちがう	5135c	f
まず	まず	8190	f
ねぇ	ねぇ	673c	9
まぁ	まぁ	8014	b
花	はな	4a95a	f
出し	だし	260e9	f
ねー	ねー	68b7	f
悪い	わるい	35050	9
さて	さて	39c9	f
知ら	しら	44dbf	f
結構	けっこう	47fb7	f
予定	よてい	21ac0	f
終わっ	おわっ	47c91	f
大変	たいへん	2d4ad	9
いただき	いただき	ab1	f
よる	よる	92c8	f
会社	かいしゃ	23305	f
彼	かれ	33a64	f
べき	べき	7c7d	f
皆	みな	43ff2	f
受け	うけ	29288	f
毎日	まいにち	3db28	f
実	じつ	2f58f	f
過ぎ	すぎ	51136	f
欲しい	ほしい	3d193	b
体	からだ	238ff	b
情報	じょうほう	351c1	f
ほう	ほう	7d03	f
いろいろ	いろいろ	d39	f
普通	ふつう	39d22	f
子	こ	2eaab	f
やる	やる	8f3c	b
女性	じょせい	2e553	f
もらっ	もらっ	8c86	b
忘れ	わすれ	34733	f
お願い	おねがい	1d6a	f
起き	おき	4f5bf	f
近く	ちかく	5035c	f
関係	かんけい	531ee	b
ちゃっ	ちゃっ	5222	f
君	きみ	2a31d	f
楽しみ	たのしみ	3ca89	f
生活	せいかつ	42db1	f
はず	はず	6cae	f
風	かぜ	54dc3	f
歳	とし	3d78d	f
なさい	なさい	625f	f
力	ちから	27306	f
相手	あいて	44626	b
一人	ひとり	1f361	f
よー	よー	931d	f
大きな	おおきな	2d189	f
色	いろ	4a7a5	f
色々	いろいろ	4a7a6	f
あなた	あなた	5a4	f
良く	よく	4a6f6	f
高い	たかい	55ba9	f
せる	せる	4825	f
購入	こうにゅう	4f2b4	f
時代	じだい	39bb6	f
一つ	ひとつ	1f303	f
最初	さいしょ	3a3ee	f
誰	だれ	4e333	f
もちろん	もちろん	8acd	f
す	す	429b	f
下さい	ください	203db	f
しっかり	しっかり	3d31	f
やはり	やはり	8e2a	f
学校	がっこう	2ed54	f
特に	とくに	41ef9	f
ぞ	ぞ	4aa1	f
出来る	できる	262ab	f
彼女	かのじょ	33a73	f
曲	きょく	3a095	f
よかっ	よかっ	914d	9
お店	おみせ	1b29	f
参加	さんか	28c50	f
笑	わらい	46d88	b
万	まん	1f8da	f
別	べつ	26a96	f
とも	とも	5dc9	b
ちゃう	ちゃう	5209	f
なう	なう	6131	f
いっぱい	いっぱい	b6c	b
元気	げんき	24a0b	f
夢	ゆめ	2d112	f
言え	いえ	4d97b	f
氏	し	3dca4	f
メール	めーる	1c7f5	f
ずっと	ずっと	4693	f
内容	ないよう	2591a	f
こ	こ	2ff2	f
まあ	まあ	8016	f
おはよう	おはよう	17b6	f
勉強	べんきょう	2774e	f
教え	おしえ	382f6	f
知っ	しっ	44db8	f
先	さき	24b05	f
部屋	へや	5187d	f
通り	とおり	50aa1	f
つけ	つけ	55a4	f
東京	とうきょう	3b357	f
楽しい	たのしい	3ca75	f
久しぶり	ひさしぶり	214dc	f
おい	おい	132b	f
下	した	203ab	f
読ん	よん	4e2f1	f
話し	はなし	4df04	f
わたし	わたし	9536	f
帰り	かえり	32220	f
作品	さくひん	23b68	f
疲れ	つかれ	43891	f
生き	いき	42b7d	f
まま	まま	833d	f
良かっ	よかっ	4a6ec	f
一度	いちど	1f4bd	f
ほしい	ほしい	7dbe	b
部分	ぶぶん	5185a	b
練習	れんしゅう	487c4	f
さらに	さらに	3ac4	f
どんな	どんな	60ed	f
すれ	すれ	461c	f
出る	でる	26174	f
思わ	おもわ	34b3c	f
ほとんど	ほとんど	7e66	b
続け	つづけ	482ab	f
可愛い	かわいい	29879	b
結局	けっきょく	47f94	f
現在	げんざい	42772	f
頑張っ	がんばっ	54ad2	f
テレビ	てれび	14975	f
物	もの	41ddd	b
こそ	こそ	3198	f
全く	まったく	25074	f
所	ところ	35d57	f
やり	やり	8ecb	f
新しい	あたらしい	389cd	f
映画	えいが	39972	f
足	あし	4f7bb	f
家族	かぞく	2fa1a	f
店	みせ	32bb2	f
外	そと	2ccd5	f
かわいい	かわいい	248f	b
国	くに	2b796	f
言い	いい	4d81b	f
無理	むり	413d4	9
昔	むかし	3988a	f
すごい	すごい	43b5	b
状況	じょうきょう	420de	f
ぐらい	ぐらい	2e25	f
中国	ちゅうごく	20d43	9
大好き	だいすき	2d4d0	b
水	みず	3e06f	f
友達	ともだち	28d6c	f
系	けい	47716	f
以前	いぜん	22d31	f
達	とおる	5130c	b
夏	なつ	2cbae	f
男	おとこ	4342b	f
途中	とちゅう	509d6	f
娘	むすめ	2e96c	f
気分	きぶん	3df60	f
しかも	しかも	3c25	f
大切	たいせつ	2d32a	f
ちゃんと	ちゃんと	5251	f
以外	いがい	22d35	f
母	はは	3dab6	f
音	おと	548b2	f
名前	なまえ	2a0a2	f
電話	でんわ	5424e	f
姿	すがた	2e92a	f
幸せ	しあわせ	327ee	f
週間	しゅうかん	50e70	f
道	みち	511f1	f
やすい	やすい	8d80	f
入り	いり	24e7a	f
者	もの	49357	b
その後	そのあと	49a1	0
簡単	かんたん	47313	f
来る	くる	3b25a	f
為	ため	4117e	f
味	あじ	2a74e	f
心配	しんぱい	3459f	9
ゲーム	げーむ	f7ea	f
時期	じき	39c12	f
二	に	21c00	f
一日	いちにち	1f542	0
実際	じっさい	2f6cb	f
え	え	1210	f
先日	せんじつ	24b88	f
点	てん	4111b	f
確認	かくにん	45467	f
選手	せんしゅ	515f3	f
そろそろ	そろそろ	4a76	f
考える	かんがえる	492ee	f
終わり	おわり	47c9a	f
撮影	さつえい	37d16	f
等	とう	46f87	b
人生	じんせい	22591	f
存在	そんざい	2ebfa	f
確か	たしか	45420	f
つつ	つつ	5680	f
もらい	もらい	8c67	b
位	くらい	2354d	f
二人	ふたり	21c40	f
記事	きじ	4db12	f
内	うち	25897	f
方法	ほうほう	38ef8	f
対し	たいし	30105	f
程度	ていど	46109	b
期待	きたい	3a9b4	f
紹介	しょうかい	47c43	f
すぎる	すぎる	4333	f
気がし	きがし	3dd9a	f
残念	ざんねん	3d936	9
なきゃ	なきゃ	61c1	f
効果	こうか	276b3	f
大丈夫	だいじょうぶ	2d1eb	f
試合	しあい	4dde1	f
強い	つよい	33645	b
ぬ	ぬ	6647	f
あげ	あげ	38d	9
飲ん	のん	55416	f
ゆっくり	ゆっくり	905a	f
きっと	きっと	27cf	f
病院	びょういん	43936	b
今度	こんど	2279e	f
寒い	さむい	2fde0	f
アップ	あっぷ	9e06	f
作業	さぎょう	23ba2	f
食べる	たべる	55190	f
絶対	ぜったい	481e9	f
あー	あー	856	f
雪	ゆき	53f6c	f
大きく	おおきく	2d184	f
せい	せい	4715	f
寝る	ねる	2ff0f	b
数	すう	384ec	f
用	よう	42fd1	b
本日	ほんじつ	3ae67	f
でる	でる	5b26	f
なぜ	なぜ	62a8	b
やっと	やっと	8ded	f
第	だい	46e88	f
綺麗	きれい	48385	b
準備	じゅんび	406ed	f
作り	つくり	23aec	f
大事	だいじ	2d22e	f
だろ	だろ	50d7	f
違い	ちがい	51357	f
電車	でんしゃ	54262	f
理由	りゆう	42891	f
全て	すべて	25077	f
たかっ	たかっ	4b2f	f
嬉しい	うれしい	2ea77	f
影響	えいきょう	33a02	f
難しい	むずかしい	53e7f	f
ちなみ	ちなみ	51d3	f
分から	ぶんから	2648c	0
まだまだ	まだまだ	81eb	f
流れ	ながれ	3f3cd	f
ぜ	ぜ	4873	f
いか	いか	8f2	f
説明	せつめい	4e1df	f
春	はる	39989	f
桜	さくら	3c335	f
わかり	わかり	948d	f
すごく	すごく	43be	b
ご飯	ごはん	378b	9
使用	しよう	23cfa	f
ほんと	ほんと	7f17	f
とっても	とっても	5cae	f
観	かん	4d573	f
さすが	さすが	395d	b
使う	つかう	23cd9	f
ちゃ	ちゃ	5203	f
友人	ゆうじん	28d02	f
増え	ふえ	2c778	f
お金	おかね	1d41	f
